disclosure_group,domain,total_request_count
Class 2,cheatengine.org,32
Class 2,checkoutchamp.com,2
Class 2,checkpoint.com,1
Class 2,checkr.com,3
Class 2,chelseablues.ru,29
Class 2,chelseafc.com,10
Class 2,chessgames.com,37
Class 2,chilipiper.com,3
Class 2,chime.me,1
Class 2,chinalovecupid.com,2
Class 2,chipolo.com,2
Class 2,choosechicago.com,14
Class 2,chopard.com,1
Class 2,chosic.com,16
Class 2,christiancupid.com,2
Class 2,churchleaders.com,9
Class 2,cica.es,2
Class 2,cieers.org.br,2
Class 2,cigaraficionado.com,10
Class 2,cinch.co.uk,2
Class 2,cinemaxx.de,6
Class 2,cirrusoft.com,1
Class 2,citigroup.com,1
Class 2,citiprogram.org,3
Class 2,cityandguilds.com,3
Class 2,cityexperiences.com,2
Class 2,civilim.com,2
Class 2,cjdropshipping.com,3
Class 2,clarecontrols.com,1
Class 2,class.com,3
Class 2,classcharts.com,1
Class 2,classiccars.com,8
Class 2,classiccasino.com,2
Class 2,classicfootballshirts.co.uk,3
Class 2,classicfootballshirts.com,1
Class 2,cldin.eu,2
Class 2,clearbit.com,4
Class 2,clearblue.com,1
Class 2,clickdimensions.com,2
Class 2,clickguard.com,2
Class 2,clicksign.com,3
Class 2,clideo.com,1
Class 2,clientify.com,2
Class 2,climatempo.com.br,25
Class 2,cline.bot,2
Class 2,clinicaagil.com.br,4
Class 2,clio.com,3
Class 2,clonezilla.org,31
Class 2,cloudcovermusic.com,1
Class 2,cloudlinux.com,1
Class 2,cloudresearch.com,3
Class 2,cloudsigma.com,1
Class 2,cloudynights.com,1
Class 2,clpe.org.uk,2
Class 2,clubedoingresso.com,4
Class 2,clubhousegolf.co.uk,1
Class 2,cnh.com,1
Class 2,codecombat.com,2
Class 2,codemonkey.com,4
Class 2,coderabbit.ai,3
Class 2,codewars.com,1
Class 2,cognizant.com,1
Class 2,cointracking.info,2
Class 2,coldstonecreamery.com,2
Class 2,colehaan.com,3
Class 2,collab.net,2
Class 2,collegenet.com,1
Class 2,colocrossing.com,1
Class 2,colombiahosting.com,1
Class 2,colombiancupid.com,2
Class 2,colonialwilliamsburg.org,2
Class 2,color-hex.com,7
Class 2,colourpop.com,1
Class 2,colunadofla.com,7
Class 2,comcast.com,4
Class 2,comcast.net,4
Class 2,comeup.com,2
Class 2,comexlive.org,16
Class 2,comic-con.org,2
Class 2,commentsold.com,1
Class 2,commercehub.com,2
Class 2,commercialobserver.com,11
Class 2,commonhealth.com.tw,6
Class 2,communityimpact.com,9
Class 2,comohotels.com,3
Class 2,companyweb.be,1
Class 2,comparepriceswebsite.co.uk,5
Class 2,compassion.com,3
Class 2,computerhope.com,7
Class 2,conad.it,3
Class 2,conceptcarz.com,26
Class 2,concordia.ca,2
Class 2,concordtheatricals.com,3
Class 2,concorsipubblici.com,6
Class 2,concursosnobrasil.com,11
Class 2,conectcar.com,3
Class 2,conjur.com.br,21
Class 2,connatix.com,3
Class 2,connecteam.com,1
Class 2,connectnetwork.com,8
Class 2,connectwise.com,5
Class 2,consorcioabierto.com,4
Class 2,constructconnect.com,2
Class 2,consumersadvocate.org,4
Class 2,contaazul.com,2
Class 2,contact2sale.com,3
Class 2,contactpigeon.com,2
Class 2,contentmods.com,1
Class 2,contentsquare.com,1
Class 2,controller.com,8
Class 2,controlup.com,3
Class 2,converse.com,1
Class 2,converse.com.br,2
Class 2,convertcart.com,4
Class 2,conviva.com,1
Class 2,cookie-script.com,2
Class 2,coolbox.pe,1
Class 2,coolmod.com,1
Class 2,copart.com,3
Class 2,copart.com.br,2
Class 2,copel.com,3
Class 2,cordcuttersnews.com,12
Class 2,core77.com,30
Class 2,coro.net,2
Class 2,corporatefinanceinstitute.com,1
Class 2,corporationwiki.com,9
Class 2,correiodoestado.com.br,11
Class 2,cotralspa.it,2
Class 2,couchdrop.io,1
Class 2,courtauld.ac.uk,1
Class 2,cpaaustralia.com.au,3
Class 2,cpapracticeadvisor.com,5
Class 2,cpj.org,1
Class 2,cpp.edu,3
Class 2,crackerjack.com,1
Class 2,creema.jp,11
Class 2,creighton.edu,2
Class 2,crepier.com,2
Class 2,crestron.com,1
Class 2,crhoy.com,15
Class 2,criticalcase.com,4
Class 2,crocs.com.br,3
Class 2,cropwise.com,2
Class 2,crosshero.com,2
Class 2,crossout.net,1
Class 2,crossthegame.com,23
Class 2,crossword-solver.io,18
Class 2,crunchbase.com,1
Class 2,cruzeirodosul.edu.br,6
Class 2,cruzeirodosulvirtual.com.br,6
Class 2,crypto-insiders.nl,5
Class 2,csa-iot.org,1
Class 2,csagroup.org,3
Class 2,csbsju.edu,5
Class 2,cstorepro.com,1
Class 2,csuchico.edu,1
Class 2,csusb.edu,1
Class 2,cttexpress.com,3
Class 2,culturacolectiva.com,23
Class 2,culture.gr,1
Class 2,culture.pl,2
Class 2,curve.app,2
Class 2,curvehero.com,3
Class 2,customily.com,1
Class 2,customink.com,2
Class 2,cv-library.co.uk,3
Class 2,cvent.com,2
Class 2,cvkeskus.ee,6
Class 2,cvmarket.lt,6
Class 2,cvmarket.lv,6
Class 2,cw.com.tw,5
Class 2,cybernews.com,9
Class 2,cynet.com,3
Class 2,cyolo.io,1
Class 2,d-id.com,4
Class 2,daily.co,3
Class 2,daily.dev,2
Class 2,dailyburn.com,4
Class 2,dailykarma.io,2
Class 2,dailysignal.com,6
Class 2,dailytimes.com.pk,20
Class 2,daimaru-matsuzakaya.jp,6
Class 2,dakar.com,5
Class 2,daktela.com,3
Class 2,dalecarnegie.com,1
Class 2,daltile.com,7
Class 2,danslescoulisses.com,19
Class 2,daotec.com,1
Class 2,darwinbox.com,3
Class 2,darwinbox.in,3
Class 2,dashlane.com,1
Class 2,datacenterdynamics.com,8
Class 2,datadome.co,1
Class 2,dataiku.com,3
Class 2,dataloader.io,1
Class 2,dataroid.com,2
Class 2,datatrans.com,2
Class 2,dawlance.com.pk,2
Class 2,daysoftheyear.com,13
