host_url,EasyPrivacy,EasyList,AdServerList,AdGuardList,AllList
https://assets.adobedtm.com/5ef092d1efb5/e6b4ca74378c/launch-ENbb9d0de7cc374dc99259df2c4b823cef.min.js,False,False,False,False,False
.everesttech.net,False,False,False,False,False
https://wcpstatic.microsoft.com/mscc/lib/v2/wcp-consent.js,False,False,False,False,False
https://connect.facebook.net/signals/config/1770559986549030?v=2.9.319&r=stable&domain=www.microsoft.com&hme=7441a59ee5070e08bd0157a62d39bd95bf3afdcc83dafbad800e78b5416300a9&ex_m=104%2C207%2C155%2C22%2C72%2C73%2C146%2C68%2C67%2C11%2C164%2C90%2C16%2C138%2C48%2C147%2C77%2C112%2C47%2C127%2C39%2C75%2C78%2C134%2C160%2C166%2C8%2C4%2C5%2C7%2C6%2C3%2C91%2C101%2C167%2C172%2C221%2C62%2C188%2C189%2C55%2C278%2C30%2C74%2C233%2C232%2C231%2C23%2C33%2C103%2C61%2C10%2C63%2C97%2C98%2C99%2C105%2C130%2C31%2C29%2C132%2C133%2C129%2C128%2C156%2C76%2C159%2C157%2C158%2C50%2C60%2C123%2C15%2C163%2C45%2C265%2C266%2C264%2C26%2C27%2C28%2C18%2C20%2C44%2C40%2C42%2C41%2C83%2C92%2C96%2C110%2C145%2C148%2C46%2C111%2C24%2C21%2C119%2C69%2C36%2C150%2C149%2C151%2C142%2C140%2C25%2C35%2C59%2C109%2C162%2C70%2C17%2C153%2C114%2C81%2C66%2C19%2C85%2C86%2C116%2C84%2C136%2C135%2C139%2C161%2C34%2C280%2C296%2C214%2C203%2C204%2C202%2C299%2C290%2C52%2C215%2C107%2C131%2C80%2C121%2C54%2C49%2C113%2C120%2C126%2C58%2C64%2C152%2C115%2C37%2C32%2C53%2C56%2C100%2C165%2C1%2C124%2C14%2C122%2C12%2C2%2C57%2C93%2C65%2C118%2C89%2C88%2C168%2C169%2C94%2C95%2C9%2C125%2C102%2C51%2C143%2C87%2C79%2C71%2C117%2C106%2C43%2C144%2C0%2C82%2C137%2C141%2C154%2C38%2C108%2C13%2C170,True,False,False,False,True
https://www.microsoft.com/videoplayer/ump.mjs,False,False,False,False,False
https://tinyurl.com/blog/wp-includes/js/wp-emoji-release.min.js?ver=6.9.4,False,False,False,False,False
.google.com,False,False,False,False,False
https://static.cloudflareinsights.com/beacon.min.js/v833ccba57c9e4d2798f2e76cebdd09a11778172276447,True,False,False,True,True
https://tinyurl.com/blog/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3,False,False,False,False,False
https://tinyurl.com/blog/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.35.8,False,False,False,False,False
.facebook.com,False,False,False,False,False
.twitter.com,False,False,False,False,False
https://scripts.clarity.ms/0.8.64/clarity.js,True,False,False,True,True
.casalemedia.com,False,False,False,False,False
https://www.microsoft.com/en-us/windows/win-con-files/scripts/mwfautoinitmainvarmin.js,False,False,False,False,False
https://tinyurl.com/blog/,False,False,False,False,False
https://js.monitor.azure.com/scripts/c/ms.shared.analytics.mectrl-3.gbl.min.js,False,False,False,False,False
.postrelease.com,False,False,False,False,False
https://www.googletagmanager.com/gtag/js?id=GT-KD2W6QH2,True,False,False,False,True
.quantserve.com,False,False,False,False,False
https://www.microsoft.com/en-us/windows/remote-resource-center/articles/scripts/Globalscripts.js?v=MBFQSDpinhBDoGGjXP2ABzbz0u_4RKkkU91JjZOKtKw1,False,False,False,False,False
.paddle.com,False,False,False,False,False
https://tinyurl.com/blog/wp-content/plugins/tu-wp-plugin/assets/js/component-register/bundle-main.js?ver=0.0,False,False,False,False,False
.t.co,False,False,False,False,False
https://www.microsoft.com/onerfstatics/marketingsites-neu-prod/shell/_scrf/js/themes=default/54-af9f9f/fb-2be034/21-f9d187/b0-50721e/d8-97d509/40-0bd7f9/ea-f1669e/9d-c6ea39/62-a72447/3e-a4ee50/7c-0bd6a1/60-37309a/db-bc0148/dc-7e9864/6d-c07ea1/6f-dafe8c/f6-aa5278/e6-5f3533/6d-1e7ed0/b7-cadaa7/62-2741f0/ca-40b7b0/4e-ee3a55/3e-f5c39b/c3-6454d7/f9-7592d3/d0-e64f3e/92-10345d/79-499886/7e-cda2d3/e7-1fe854/66-9d711a/38-b93a9e/de-884374/1f-100dea/33-abe4df/8f-61bee0?ver=2.0&_cf=02242021_3231&iife=1,False,False,False,False,False
.doubleclick.net,False,False,False,False,False
.innovid.com,False,False,False,False,False
https://www.microsoft.com/en-gb/windows/,False,False,False,False,False
https://snap.licdn.com/li.lms-analytics/insight.min.js,True,False,False,False,True
.c1.microsoft.com,False,False,False,False,False
